parameter,sparsity,loss,top1_acc
conv1,0.0,0.7166622844696044,0.7874999642372131
conv1,0.05,0.7166622844696044,0.7874999642372131
conv1,0.1,0.7166622844696044,0.7874999642372131
conv1,0.15000000000000002,0.7168107803344727,0.7875999808311462
conv1,0.2,0.7167856803894043,0.7875999808311462
conv1,0.25,0.7174163866043091,0.7874999642372131
conv1,0.30000000000000004,0.7151517789840698,0.7874000072479248
conv1,0.35000000000000003,0.7146604816436768,0.7860999703407288
conv1,0.4,0.7195111022949219,0.7845999598503113
conv1,0.45,0.7176149703979492,0.7854999899864197
conv1,0.5,0.7212174739837647,0.7831999659538269
conv1,0.55,0.7271402284622193,0.7802000045776367
conv1,0.6000000000000001,0.7459531862258911,0.7752000093460083
conv1,0.65,0.7594941101074218,0.7705000042915344
conv1,0.7000000000000001,0.7972318950653077,0.7591999769210815
conv1,0.75,0.8917072027206421,0.7337999939918518
conv1,0.8,1.0436566146850585,0.693399965763092
conv1,0.8500000000000001,1.2465277099609375,0.6412000060081482
conv1,0.9,1.7751427299499511,0.5148000121116638
conv1,0.9500000000000001,2.8293020290374757,0.3303000032901764
layer1.0.conv1,0.0,0.7166622844696044,0.7874999642372131
layer1.0.conv1,0.05,0.7166622844696044,0.7874999642372131
layer1.0.conv1,0.1,0.7166622844696044,0.7874999642372131
layer1.0.conv1,0.15000000000000002,0.7165395805358886,0.7874999642372131
layer1.0.conv1,0.2,0.7175640586853027,0.7875999808311462
layer1.0.conv1,0.25,0.7170511680603028,0.7874000072479248
layer1.0.conv1,0.30000000000000004,0.7133838083267212,0.7874999642372131
layer1.0.conv1,0.35000000000000003,0.7131168966293335,0.7874999642372131
layer1.0.conv1,0.4,0.7203908365249634,0.7856999635696411
layer1.0.conv1,0.45,0.7276385944366455,0.7841999530792236
layer1.0.conv1,0.5,0.7323266284942627,0.7825999855995178
layer1.0.conv1,0.55,0.742675354385376,0.7800999879837036
layer1.0.conv1,0.6000000000000001,0.7715317985534668,0.7720999717712402
layer1.0.conv1,0.65,0.8219915996551513,0.7609999775886536
layer1.0.conv1,0.7000000000000001,0.8241357000350952,0.7622999548912048
layer1.0.conv1,0.75,0.8309855133056641,0.7619999647140503
layer1.0.conv1,0.8,0.8495280426025391,0.7572999596595764
layer1.0.conv1,0.8500000000000001,0.9927451477050782,0.7236999869346619
layer1.0.conv1,0.9,1.133024137687683,0.6868999600410461
layer1.0.conv1,0.9500000000000001,1.290829095840454,0.6455999612808228
layer1.0.conv2,0.0,0.7166622844696044,0.7874999642372131
layer1.0.conv2,0.05,0.7172515607833863,0.7874000072479248
layer1.0.conv2,0.1,0.7174637529373169,0.7874999642372131
layer1.0.conv2,0.15000000000000002,0.7175259338378907,0.7877999544143677
layer1.0.conv2,0.2,0.7157620994567871,0.788100004196167
layer1.0.conv2,0.25,0.7186511930465698,0.7877999544143677
layer1.0.conv2,0.30000000000000004,0.7179750633239746,0.786799967288971
layer1.0.conv2,0.35000000000000003,0.7169747171401978,0.7865999937057495
layer1.0.conv2,0.4,0.7181150127410889,0.7874999642372131
layer1.0.conv2,0.45,0.7265656394958496,0.7857999801635742
layer1.0.conv2,0.5,0.7249790901184082,0.7856000065803528
layer1.0.conv2,0.55,0.725862995147705,0.7865999937057495
layer1.0.conv2,0.6000000000000001,0.7187276123046875,0.7872999906539917
layer1.0.conv2,0.65,0.7310238380432129,0.7849999666213989
